E (kWh),1%_300,3%_300
0,1238467.26,#N/A
20,1240628.04,#N/A
40,1241885.99,#N/A
60,1242905.4,#N/A
80,1243786.36,#N/A
100,1244571.87,1244571.869
200,1247657.7,1247657.701
300,1249945.89,1249945.894
400,1251771.18,1251771.185
500,1253277.28,1253277.285
600,1254543.2,1254543.204
700,1255618.45,1255618.45
800,1256536.71,1256536.717
900,1257322.28,1257322.288
1000,1257993.41,1257993.418
1100,#N/A,1258564.284
1200,1259046.18,1259046.184
1300,#N/A,1259448.311
1400,1259778.27,1259778.278
1500,#N/A,1260042.482
1600,1260246.36,1260246.366
1700,#N/A,1260394.612
1800,1260491.27,1260491.286
1900,#N/A,1260539.949
2000,1260543.73,1260543.74
2100,#N/A,1260505.451
2200,1260427.56,1260427.571
2300,#N/A,1260312.341
2400,1260161.76,1260161.78
2500,1259977.7,1259977.719
2520,1259937.02,#N/A
2540,1259895.08,#N/A
2560,1259851.89,#N/A
2580,1259807.46,#N/A
2600,1259761.81,1259761.827
2620,1259714.95,#N/A
2640,1259666.88,#N/A
2660,1259617.63,#N/A
2680,1259567.2,#N/A
2700,1259515.61,1259515.627
2720,1259462.86,#N/A
2740,1259408.96,#N/A
2760,1259353.93,#N/A
2780,1259297.77,#N/A
2800,1259240.5,1259240.516
2820,1259182.12,#N/A
2900,#N/A,1258937.78
3000,1258608.59,1258608.605
3100,#N/A,1258254.088
3200,1257875.23,1257875.248
3300,#N/A,1257473.032
3400,1257048.3,1257048.32
3500,#N/A,1256601.938
3600,1256134.64,1256134.658
3700,#N/A,1255647.203
3800,1255142.45,1255142.462
3900,#N/A,1254622.127
4000,1254088.1,1254088.127
4100,#N/A,1253540.698
4200,1253002.8,1253002.83
4300,#N/A,1252474.561
4400,1252067.39,1252067.422
4420,1252019.18,#N/A
4440,1251978.08,#N/A
4460,1251948.65,#N/A
4480,1251929.61,#N/A
4500,1251919.77,1251919.796
4520,1251919.05,#N/A
4540,1251927.5,#N/A
4560,1251948.3,#N/A
4580,1251981.19,#N/A
4600,1252031.84,1252031.872
4620,1252109.58,#N/A
4640,1252210.23,#N/A
4660,1252329,#N/A
4680,1252467.24,#N/A
4700,1252615.29,1252615.319
4720,1252775.72,#N/A
4740,1252948.37,#N/A
4760,1253130.87,#N/A
4780,1253322.98,#N/A
4800,1253523.54,1253523.575
4900,#N/A,1254609.476
5000,1255824.79,1255824.82
5100,#N/A,1257140.99
5200,#N/A,1258522.997
5300,#N/A,1259935.819
5400,#N/A,1261369.179
5500,1262812.15,1262812.169
5600,#N/A,1264265.847
5700,#N/A,1265719.969
5800,#N/A,1267176.032
5900,#N/A,1268622.95
6000,1270058.99,1270058.989
6100,#N/A,1271484.376
6200,#N/A,1272899.327
6300,#N/A,1274304.057
6400,#N/A,1275698.758
6500,1277083.67,1277083.638
6600,#N/A,1278458.875
6700,#N/A,1279824.657
6800,#N/A,1281181.161
6900,#N/A,1282528.552
7000,1283867.07,1283867
7100,#N/A,1285196.662
7200,#N/A,1286517.692
7300,#N/A,1287830.244
7400,#N/A,1289134.456
7500,1290430.57,1290430.471
7600,#N/A,1291718.43
7700,#N/A,1292998.459
7800,#N/A,1294279.358
7900,#N/A,1295571.406
8000,1296875.51,1296875.333
8100,#N/A,1298177.647
8200,#N/A,1299489.128
8300,#N/A,1300848.266
8400,#N/A,1302271.209
8500,1303717.33,1303717.062
8600,#N/A,1305178.579
8700,#N/A,1306659.406
8800,#N/A,1308146.757
8900,#N/A,1309638.526
9000,1311138.13,1311137.866
9100,#N/A,1312653.207
9200,#N/A,1314186.762
9300,#N/A,1315726.449
9400,#N/A,1317274.907
9500,1318828.16,1318828.059
9600,#N/A,1320380.942
9700,#N/A,1321934.088
9800,#N/A,1323489.919
9900,#N/A,1325044.886
10000,1326597.16,1326597.465
