Battery_kWh,Total_Cost
0,3715401.77385
1000,3667284.3981581465
2000,3602191.1846916303
3000,3532612.5140096773
4000,3460483.99307946
5000,3410716.8692409405
6000,3401150.6872346797
7000,3392450.600981045
8000,3383116.9929547957
9000,3380189.2736793975
10000,3395544.502950333
11000,3417766.8953104764
12000,3439496.450510399
13000,3460777.411400561
14000,3481652.5857272986
15000,3502157.9473096956
16000,3522324.1037569707
17000,3542177.38598885
18000,3561740.656901326
19000,3581033.9392224047
20000,3600074.8945260895
